Continent,Year,Labour Force,Population,Normalized Labour Force,Unemployment Rate
Africa,2014,248476030,654337738.7,37.64843933,5.467928848
Africa,2015,255896016,672465866,37.71152949,5.657564869
Africa,2016,263401418.7,690770659.3,37.78696976,5.708249708
Africa,2017,270621798,709256849.3,37.79781331,5.790608969
Africa,2018,278236606,728269315.3,37.84728966,5.770049172
Africa,2019,286361536.7,747699366,37.93731263,5.877056843
Africa,2020,291810429,767534720.7,37.66192804,6.308543542
Africa,2021,301809442,787442008.7,37.96066613,6.395109509
Africa,2022,312604440,807460001.3,38.35156552,5.754735489
Africa,2023,322617999.7,827931878,38.6014149,5.612916888
Asia,2014,669023836,1487975723,40.91446097,7.099818048
Asia,2015,675394587.7,1503519558,40.89794131,7.246645175
Asia,2016,680699738.7,1518903974,40.90384081,7.176762271
Asia,2017,685582016.3,1534316657,40.78367606,7.207810763
Asia,2018,690766662.3,1548997091,40.71238354,7.054187662
Asia,2019,696392225,1562885718,40.70382589,6.602734022
Asia,2020,691283334.7,1575477534,39.99984859,7.447895219
Asia,2021,705049500.7,1586100257,40.53973418,6.872092202
Asia,2022,718228222.7,1595945361,41.19417093,6.270461458
Asia,2023,734821509.7,1606646004,41.82966302,5.908154253
Europe,2014,215250627.7,449720000.7,47.92910285,9.793820694
Europe,2015,215936749.3,451356991,47.91596639,9.073112972
Europe,2016,217364153.7,452950598.7,48.02813377,8.186385188
Europe,2017,218319881.3,454286426,48.22163814,7.261779202
Europe,2018,219141753.7,455624350.7,48.26447557,6.435856276
Europe,2019,219766857.7,456709637.3,48.31586638,5.958771753
Europe,2020,216797134.7,457508641,47.72556775,6.415302028
Europe,2021,218587092.7,457508293.3,48.01723615,6.359747324
Europe,2022,214448011.7,456476057.7,47.93269504,5.523270304
Europe,2023,216128463.3,458147920.3,48.16735304,5.404326613
Americas,2014,118191510,246194557.5,45.04026864,8.492241203
Americas,2015,119728927.5,248487837.3,45.24027144,8.154385202
Americas,2016,121298327.3,250791538,45.48513992,8.240718401
Americas,2017,123020320.3,252995652,45.72675958,7.951966894
Americas,2018,124631386.8,255066946.8,45.95611044,7.769896147
Americas,2019,126342422.8,257036903.8,46.04084361,7.581048516
Americas,2020,121871462.3,259277927.3,44.53774458,10.22996957
Americas,2021,125785730.5,260600881.5,45.26550674,8.972893142
Americas,2022,128294817.5,262205840,45.98364812,7.430274089
Americas,2023,130094287.3,264159979.8,46.32412567,7.027922398
Oceania,2014,891624,2405308,37.06901569,3.461038668
Oceania,2015,900248,2431426,37.02551507,3.460482007
Oceania,2016,907983,2457814,36.942706,3.466241894
Oceania,2017,919953,2484263,37.03122415,3.484188291
Oceania,2018,933075,2510226,37.17095592,3.491636251
Oceania,2019,947545,2536070,37.36273052,3.518514277
Oceania,2020,946071,2566819,36.85772156,3.505812807
Oceania,2021,963644,2602173,37.03228033,3.604744157
Oceania,2022,1004689,2639019,38.07054818,3.830678887
Oceania,2023,1029856,2677728,38.46006764,3.729420655
