Continent,Year,Working Poverty Rate
Africa,2023,25.983
Africa,2022,26.16285714
Africa,2021,26.48914286
Africa,2020,26.78414286
Africa,2019,25.84
Africa,2018,26.13271429
Africa,2017,26.57842857
Africa,2016,26.94228571
Africa,2015,27.15
Africa,2014,27.15985714
Asia,2023,1.7488
Asia,2022,1.8808
Asia,2021,2.1412
Asia,2020,2.2966
Asia,2019,2.2332
Asia,2018,2.5004
Asia,2017,2.927
Asia,2016,3.3152
Asia,2015,3.7414
Asia,2014,4.4378
Americas,2023,3.4344
Americas,2022,3.4298
Americas,2021,3.5896
Americas,2020,3.9306
Americas,2019,3.2924
Americas,2018,3.1514
Americas,2017,3.144
Americas,2016,3.1284
Americas,2015,3.0598
Americas,2014,3.1472
Europe,2023,0.1645
Europe,2022,0.173
Europe,2021,0.18425
Europe,2020,0.1965
Europe,2019,0.19825
Europe,2018,0.2115
Europe,2017,0.2385
Europe,2016,0.25175
Europe,2015,0.2805
Europe,2014,0.30075
